Date,Value-weighted portfolio,Minimum variance portfolio
2014 Jan,-0.0360730488029479,-3.053416173239964e-05
2014 Feb,0.05413200306158002,0.050466413861940146
2014 Mar,0.007865585521372571,0.006591605051971386
2014 Apr,0.018190944395607873,0.021430962868653883
2014 May,0.015616788891133934,0.00780354787050855
2014 Jun,0.011431113062307022,0.005127491379210338
2014 Jul,-0.022087604400668995,-0.044340092772881756
2014 Aug,0.022326229225302738,0.03017876013627566
2014 Sep,-0.025609162350995838,-0.044354777668812094
2014 Oct,0.00022498474397102466,0.04653697281972168
2014 Nov,0.02458078678514202,0.03213998244530376
2014 Dec,-0.019276826528345628,0.009403322380771694
2015 Jan,-0.023956175148357087,0.0015211673402817233
2015 Feb,0.06038398514385248,0.006120946231758913
2015 Mar,-0.020121820194453265,-0.021363952412196283
2015 Apr,0.028179129382781425,0.006851354577242746
2015 May,0.0003983546861689143,0.0080001503363998
2015 Jun,-0.02471853611145034,-0.015839289442604564
2015 Jul,0.018981793532815722,0.05526932204860593
2015 Aug,-0.06396848143495244,-0.03326210055570823
2015 Sep,-0.035346527890403864,0.002748076639473006
2015 Oct,0.07876475016870124,0.03446875440901567
2015 Nov,-0.008174990953748459,-0.00010295715359865884
2015 Dec,-0.027718026036991115,0.023223567188115305
2016 Jan,-0.05522509499108169,-0.00589304952571873
2016 Feb,-0.0037796359887753194,0.0026625343851872634
2016 Mar,0.0736519721268132,0.05646971793827066
2016 Apr,0.018298982403846333,0.02433759891327176
2016 May,0.0059426173716537025,0.013358488416217482
2016 Jun,-0.017208211977374745,0.03980025677021868
2016 Jul,0.04155685880024171,0.024071384734005077
2016 Aug,0.005955515675257511,-0.05276012341464262
2016 Sep,0.0025404664819067436,0.00189563732602972
2016 Oct,-0.020009321709393575,-0.013289249013013845
2016 Nov,0.019818046862285665,-0.0098822152019058
2016 Dec,0.034682159589546166,0.019924946460019546
2017 Jan,0.014643604681415151,0.01011059814901542
2017 Feb,0.03030635774824182,0.019327505925387654
2017 Mar,0.014556720376078407,-0.007995663923427095
2017 Apr,0.01940780419256331,0.037375321000709394
2017 May,0.027143973911145116,0.01293797221725489
2017 Jun,0.0024237682356770254,-0.005761233053317711
2017 Jul,0.021291722030697735,0.02043900454017774
2017 Aug,-0.0011412074723357532,-0.040451330425508025
2017 Sep,0.028423521153148522,0.01317535787911293
2017 Oct,0.013895467426078535,-0.0019581507609391846
2017 Nov,0.02499857951750982,0.02911999624716468
2017 Dec,0.01398371062237448,0.030144522452242882
2018 Jan,0.04731209967863941,0.020723090356011213
2018 Feb,-0.04897044279298077,-0.0614868544576585
2018 Mar,-0.01674257973861803,-0.011364135426405401
2018 Apr,0.012743466974354734,0.00445176815818441
2018 May,3.450643831835222e-05,0.023549607446934906
2018 Jun,0.0023399420003226853,0.030507698099070925
2018 Jul,0.03960694425034706,0.014646348895583503
2018 Aug,0.005270393008720982,0.021027023401644602
2018 Sep,0.006229130910762214,-0.016670133677450072
2018 Oct,-0.06188073461374005,-0.01193966470088444
2018 Nov,0.013306713494448758,0.003717845400100634
