NAME,ISIN,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
SLB,AN8068571086,,,,,,,390000.0,330000.0,341824.0,550000.0,430000.0,747000.0,577000.0,704000.0,561000.0,642000.0,650000.0,527000.0,375000.0,401000.0,312000.0,373000.0,373000.0
STRABAG SE,AT000000STR1,,,,,,,,327000.0,315157.0,316702.0,295141.0,231242.0,205827.0,220352.0,234965.0,240709.0,177387.0,171353.0,165711.0,175191.0,183908.0,156306.0,156306.0
FLUGHAFEN WIEN,AT00000VIE62,,,,,,,,,,,,,46714.0,46710.0,45732.0,42587.0,21216.0,17758.0,18053.0,0.0,17704.0,0.0,0.0
RAIFFEISEN BANK INTL.,AT0000606306,,,,,,,,3720.0,2643.0,40953.0,43060.0,26160.0,25503.0,25801.0,26442.0,53825.0,49708.0,47194.0,41064.0,36991.0,33526.0,21804.0,21804.0
ERSTE GROUP BANK,AT0000652011,,,,,,,5080.0,4480.0,117554.0,86945.0,84281.0,65925.0,52175.0,54377.0,48969.0,35114.0,34884.0,32562.0,22884.0,18742.0,43360.0,42619.0,42619.0
TELEKOM AUSTRIA,AT0000720008,,,,,80877.63,104072.31,69735.0,48107.26,70400.0,189647.0,195246.0,144989.0,176186.0,275328.0,286957.0,234958.0,252034.0,287002.0,272631.0,267108.0,234629.0,265117.0,265117.0
ANDRITZ,AT0000730007,,,,,,,,,,,,,,,,68365.0,75798.0,97669.0,104513.0,73739.0,117625.0,107713.0,107713.0
OMV,AT0000743059,,,,,,,814900.0,742000.0,688000.0,583000.0,700000.0,300000.0,400000.0,400000.0,300000.0,400000.0,906219.0,300000.0,1000000.0,900000.0,778761.0,1036020.0,1036020.0
VERBUND,AT0000746409,,,,,,,467753.0,441521.0,845398.0,1053000.0,985000.0,491000.0,410000.0,342000.0,452000.0,411000.0,175000.0,176000.0,146000.0,228000.0,239185.0,116824.0,116824.0
WIENERBERGER,AT0000831706,,,,,,,,,,,,,,,,,,296200.0,175600.0,155200.0,78600.0,272406.0,272406.0
VIENNA INSURANCE GROUP A,AT0000908504,,,,,,,,,,,,,,,,,18714.0,15022.0,14136.0,17405.0,19301.0,13478.0,13478.0
VOESTALPINE,AT0000937503,,,,,,,,,,,,,,,,900000.0,800000.0,940000.0,640000.0,730000.0,650000.0,630000.0,630000.0
MAYR-MELNHOF KARTON,AT0000938204,,,,,,,,,,,,,,,,,100000.0,120000.0,560000.0,630000.0,600000.0,560155.0,560155.0
CPI EUROPE AGE,AT0000A21KS2,,,,,,,,,,,,,,,,381.0,380.0,380.0,380.0,26407.0,15567.0,20911.0,20911.0
